Delta ID,Latitude,Longitude,Tidal range (m),Permafrost classification with ice content,Distance to nearest community (m),Canadian geographic name,Language spoken,Name of region in original language,Community type,Province
NWA1_G154,76.747621,-118.274798,0.51,Continuous permafrost with medium ground ice content (10% to 20%),570412.9426,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA1_G155,76.811622,-117.781827,0.52,Continuous permafrost with medium ground ice content (10% to 20%),582296.1533,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA1_G156,76.77284,-117.744426,0.52,Continuous permafrost with medium ground ice content (10% to 20%),578842.618,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA1_G157,76.735792,-117.775735,0.52,Continuous permafrost with medium ground ice content (10% to 20%),574785.7765,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA1_G158,76.758324,-117.756958,0.52,Continuous permafrost with medium ground ice content (10% to 20%),577249.9754,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA1_G159,76.712185,-117.825372,0.52,Continuous permafrost with medium ground ice content (10% to 20%),571859.4023,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA1_G160,76.487964,-118.019029,0.51,Continuous permafrost with medium ground ice content (10% to 20%),547263.2031,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA1_G161,76.408406,-118.000714,0.51,Continuous permafrost with medium ground ice content (10% to 20%),539594.8681,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA1_G162,76.336268,-117.828635,0.5,Continuous permafrost with medium ground ice content (10% to 20%),534622.8225,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA1_G163,76.261705,-117.300711,0.5,Continuous permafrost with medium ground ice content (10% to 20%),534316.1461,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA1_G164,76.46167,-116.975904,0.4,Continuous permafrost with medium ground ice content (10% to 20%),557870.4709,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA1_G165,76.485805,-116.995799,0.4,Continuous permafrost with medium ground ice content (10% to 20%),559924.0795,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA1_G166,76.562988,-117.003696,0.4,Continuous permafrost with medium ground ice content (10% to 20%),567260.1385,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA1_G167,76.56237,-116.932653,0.4,Continuous permafrost with medium ground ice content (10% to 20%),568127.2271,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA1_G168,76.553445,-116.811123,0.39,Continuous permafrost with medium ground ice content (10% to 20%),568870.8,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA1_G169,76.576199,-116.733017,0.39,Continuous permafrost with medium ground ice content (10% to 20%),572090.3138,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA1_G170,76.59365,-116.319206,0.39,Continuous permafrost with medium ground ice content (10% to 20%),579347.7069,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA1_G171,76.615983,-116.197521,0.35,Continuous permafrost with medium ground ice content (10% to 20%),583134.6711,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA1_G172,76.632167,-116.10248,0.35,Continuous permafrost with medium ground ice content (10% to 20%),585976.0173,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA1_G173,76.702006,-115.939246,0.35,Continuous permafrost with medium ground ice content (10% to 20%),594809.4049,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA1_G174,76.719823,-115.904616,0.35,Continuous permafrost with medium ground ice content (10% to 20%),596963.9069,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA1_G176,76.765579,-115.939277,0.35,Continuous permafrost with medium ground ice content (10% to 20%),600799.2662,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA1_G177,76.790295,-115.991638,0.35,Continuous permafrost with medium ground ice content (10% to 20%),602426.0105,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
NWA1_G178,76.120072,-116.591103,0.42,Continuous permafrost with medium to low ground ice content (10% to <10%),531143.5457,Sachs Harbour,Undetermined, ,Hamlet,Northwest Territories
